Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;CE;CANINDE;POSTO SIM LTDA; 04.369.988/0001-11;RUA JOAQUIM MAGALHÃES;466;;CENTRO;62700-000;GASOLINA;03/07/2023;5,85;;R$ / litro;BRANCA
NE;CE;CANINDE;POSTO SIM LTDA; 04.369.988/0001-11;RUA JOAQUIM MAGALHÃES;466;;CENTRO;62700-000;GASOLINA ADITIVADA;03/07/2023;5,89;;R$ / litro;BRANCA
NE;CE;CANINDE;POSTO SIM LTDA; 04.369.988/0001-11;RUA JOAQUIM MAGALHÃES;466;;CENTRO;62700-000;DIESEL;03/07/2023;5,05;;R$ / litro;BRANCA
NE;CE;CANINDE;POSTO SIM LTDA; 04.369.988/0001-11;RUA JOAQUIM MAGALHÃES;466;;CENTRO;62700-000;DIESEL S10;03/07/2023;5,05;;R$ / litro;BRANCA
NE;CE;CANINDE;POSTO SIM LTDA; 04.369.988/0001-11;RUA JOAQUIM MAGALHÃES;466;;CENTRO;62700-000;ETANOL;03/07/2023;4,59;;R$ / litro;BRANCA
NE;CE;CRATO;PALACIO COMERCIAL DE DERIVADOS DE PETROLEO LTDA.; 06.046.590/0001-70;AVENIDA PADRE CICERO;995;;SAO MIGUEL;63122-445;GASOLINA;05/07/2023;5,63;;R$ / litro;BRANCA
NE;CE;CRATO;PALACIO COMERCIAL DE DERIVADOS DE PETROLEO LTDA.; 06.046.590/0001-70;AVENIDA PADRE CICERO;995;;SAO MIGUEL;63122-445;GASOLINA ADITIVADA;05/07/2023;5,63;;R$ / litro;BRANCA
NE;CE;CRATO;PALACIO COMERCIAL DE DERIVADOS DE PETROLEO LTDA.; 06.046.590/0001-70;AVENIDA PADRE CICERO;995;;SAO MIGUEL;63122-445;DIESEL;05/07/2023;4,89;;R$ / litro;BRANCA
NE;CE;CRATO;PALACIO COMERCIAL DE DERIVADOS DE PETROLEO LTDA.; 06.046.590/0001-70;AVENIDA PADRE CICERO;995;;SAO MIGUEL;63122-445;DIESEL S10;05/07/2023;4,9;;R$ / litro;BRANCA
NE;CE;CRATO;PALACIO COMERCIAL DE DERIVADOS DE PETROLEO LTDA.; 06.046.590/0001-70;AVENIDA PADRE CICERO;995;;SAO MIGUEL;63122-445;ETANOL;05/07/2023;4,6;;R$ / litro;BRANCA
NE;CE;CRATO;M. T. M. PETROLEO LTDA; 02.707.042/0001-92;AVENIDA PADRE CICERO;1832;;SAO MIGUEL;63122-440;GASOLINA;05/07/2023;5,78;;R$ / litro;BRANCA
NE;CE;CRATO;M. T. M. PETROLEO LTDA; 02.707.042/0001-92;AVENIDA PADRE CICERO;1832;;SAO MIGUEL;63122-440;DIESEL S10;05/07/2023;4,99;;R$ / litro;BRANCA
NE;CE;CRATO;JOTESSE MACEDO COMERCIAL DE DERIVADOS DE PETROLEO LTDA; 12.255.782/0001-99;AVENIDA THOMAZ OSTERNES DE ALENCAR;860;;VILA ALTA;63119-340;GASOLINA;05/07/2023;5,69;;R$ / litro;VIBRA ENERGIA
NE;CE;CRATO;JOTESSE MACEDO COMERCIAL DE DERIVADOS DE PETROLEO LTDA; 12.255.782/0001-99;AVENIDA THOMAZ OSTERNES DE ALENCAR;860;;VILA ALTA;63119-340;GASOLINA ADITIVADA;05/07/2023;5,89;;R$ / litro;VIBRA ENERGIA
NE;CE;CRATO;FERNANDO LEITE DE LACERDA; 04.682.155/0001-06;AVENIDA PERIMETRAL DOM FRANCISCO;1,02;;SAO MIGUEL;63122-375;GASOLINA;05/07/2023;5,69;;R$ / litro;VIBRA ENERGIA
NE;CE;CRATO;FERNANDO LEITE DE LACERDA; 04.682.155/0001-06;AVENIDA PERIMETRAL DOM FRANCISCO;1,02;;SAO MIGUEL;63122-375;GASOLINA ADITIVADA;05/07/2023;5,74;;R$ / litro;VIBRA ENERGIA
NE;CE;CRATO;J V PETROLEO EIRELI; 04.590.777/0001-04;AVENIDA PADRE CICERO;1141;;SAO MIGUEL;63122-000;GASOLINA;05/07/2023;5,5;;R$ / litro;ALESAT
NE;CE;CRATO;J V PETROLEO EIRELI; 04.590.777/0001-04;AVENIDA PADRE CICERO;1141;;SAO MIGUEL;63122-000;DIESEL;05/07/2023;4,84;;R$ / litro;ALESAT
NE;CE;CRATO;J V PETROLEO EIRELI; 04.590.777/0001-04;AVENIDA PADRE CICERO;1141;;SAO MIGUEL;63122-000;DIESEL S10;05/07/2023;4,9;;R$ / litro;ALESAT
NE;CE;CRATO;TRIBUS COMERCIO DE COMBUSTVEIS LTDA.; 04.314.770/0001-60;AVENIDA PERIMETRAL DOM FRANCISCO;707;;SAO MIGUEL;63122-375;GASOLINA;05/07/2023;5,6;;R$ / litro;BRANCA
NE;CE;CRATO;TRIBUS COMERCIO DE COMBUSTVEIS LTDA.; 04.314.770/0001-60;AVENIDA PERIMETRAL DOM FRANCISCO;707;;SAO MIGUEL;63122-375;GASOLINA ADITIVADA;05/07/2023;5,6;;R$ / litro;BRANCA
NE;CE;CRATO;TRIBUS COMERCIO DE COMBUSTVEIS LTDA.; 04.314.770/0001-60;AVENIDA PERIMETRAL DOM FRANCISCO;707;;SAO MIGUEL;63122-375;DIESEL;05/07/2023;4,89;;R$ / litro;BRANCA
NE;CE;CRATO;TRIBUS COMERCIO DE COMBUSTVEIS LTDA.; 04.314.770/0001-60;AVENIDA PERIMETRAL DOM FRANCISCO;707;;SAO MIGUEL;63122-375;DIESEL S10;05/07/2023;4,9;;R$ / litro;BRANCA
NE;CE;CRATO;TRIBUS COMERCIO DE COMBUSTVEIS LTDA.; 04.314.770/0001-60;AVENIDA PERIMETRAL DOM FRANCISCO;707;;SAO MIGUEL;63122-375;ETANOL;05/07/2023;4,6;;R$ / litro;BRANCA
NE;CE;ICO;YARA JANE JERONIMO DE SANTANA COMBUSTIVEL; 07.504.639/0001-53;RUA DESEMBARGADOR JOSÉ BASTOS;623;;CENTRO;63430-000;GASOLINA;05/07/2023;5,66;;R$ / litro;BRANCA
NE;CE;ICO;YARA JANE JERONIMO DE SANTANA COMBUSTIVEL; 07.504.639/0001-53;RUA DESEMBARGADOR JOSÉ BASTOS;623;;CENTRO;63430-000;DIESEL;05/07/2023;5,16;;R$ / litro;BRANCA
NE;CE;ICO;YARA JANE JERONIMO DE SANTANA COMBUSTIVEL; 07.504.639/0001-53;RUA DESEMBARGADOR JOSÉ BASTOS;623;;CENTRO;63430-000;DIESEL S10;05/07/2023;5,16;;R$ / litro;BRANCA
NE;CE;ICO;YARA JANE JERONIMO DE SANTANA COMBUSTIVEL; 07.504.639/0001-53;RUA DESEMBARGADOR JOSÉ BASTOS;623;;CENTRO;63430-000;ETANOL;05/07/2023;4,45;;R$ / litro;BRANCA
NE;CE;ICO;COMERCIAL DE PETROLEO PARAIBANO LTDA; 05.483.270/0001-14;AVENIDA MONSENHOR FROTA;673;;NOVO CENTRO;63430-000;GASOLINA;05/07/2023;5,79;;R$ / litro;BRANCA
NE;CE;ICO;COMERCIAL DE PETROLEO PARAIBANO LTDA; 05.483.270/0001-14;AVENIDA MONSENHOR FROTA;673;;NOVO CENTRO;63430-000;GASOLINA ADITIVADA;05/07/2023;5,79;;R$ / litro;BRANCA
NE;CE;ICO;COMERCIAL DE PETROLEO PARAIBANO LTDA; 05.483.270/0001-14;AVENIDA MONSENHOR FROTA;673;;NOVO CENTRO;63430-000;DIESEL;05/07/2023;5,54;;R$ / litro;BRANCA
NE;CE;ICO;COMERCIAL DE PETROLEO PARAIBANO LTDA; 05.483.270/0001-14;AVENIDA MONSENHOR FROTA;673;;NOVO CENTRO;63430-000;DIESEL S10;05/07/2023;5,59;;R$ / litro;BRANCA
NE;CE;ICO;COMERCIAL DE PETROLEO PARAIBANO LTDA; 05.483.270/0001-14;AVENIDA MONSENHOR FROTA;673;;NOVO CENTRO;63430-000;ETANOL;05/07/2023;4,59;;R$ / litro;BRANCA
NE;CE;ICO;AUTO POSTO PEDRO BARRETO LTDA; 07.495.518/0001-92;AVENIDA NOGUEIRA ACIOLY;1020;TERREO;CENTRO;63430-000;GASOLINA;05/07/2023;5,89;;R$ / litro;BRANCA
NE;CE;ICO;AUTO POSTO PEDRO BARRETO LTDA; 07.495.518/0001-92;AVENIDA NOGUEIRA ACIOLY;1020;TERREO;CENTRO;63430-000;GASOLINA ADITIVADA;05/07/2023;5,89;;R$ / litro;BRANCA
NE;CE;ICO;AUTO POSTO PEDRO BARRETO LTDA; 07.495.518/0001-92;AVENIDA NOGUEIRA ACIOLY;1020;TERREO;CENTRO;63430-000;DIESEL;05/07/2023;5,29;;R$ / litro;BRANCA
NE;CE;ICO;AUTO POSTO PEDRO BARRETO LTDA; 07.495.518/0001-92;AVENIDA NOGUEIRA ACIOLY;1020;TERREO;CENTRO;63430-000;DIESEL S10;05/07/2023;5,29;;R$ / litro;BRANCA
